SKU_Code,Product_Name,Brand,Actual_Total,Forecast_Total,Volume_Error_%,Performance_Category
555347,LAKME TE FRVR LIQ LIP MAUVEPARTY,Lakme,23.0,54.88011678534458,138.61,Poor
572053,LAKME9-5 MAT2GLAS LQLPMM01MLBRYWNE7.6GM,Lakme,19.0,45.53202012938596,139.64,Poor
562396,LAKME 9TO5 VITAMIN C+ SERUM 30M,Lakme,18.0,44.001240795760864,144.45,Poor
571945,LAKME 9-5 P+S LIP SR5 WINE,Lakme,11.0,27.297082606442412,148.16,Poor
572521,LAKME ABS LUMNSSKINTINT FND W240WRMBEIGE,Lakme,16.0,41.58141291822638,159.88,Poor
573580,LAKME SUN EXPERT SPF 50 PA+++ UVA/B56M,Lakme,14.0,37.75980530183423,169.71,Poor
527495,LAK PERF RAD COMPACT SPF20 03,Lakme,23.0,62.91055774537621,173.52,Poor
571245,LAKME TRUEWEAR COLOR CRUSH 36,Lakme,17.0,47.1956987739808,177.62,Poor
547495,PONDS LIGHT MOISTURISER 49G,Ponds,12.0,33.98341721331561,183.2,Poor
562018,LAKME 9-5 P+M LIPMB1CHOCOLATECRUSH 3.6G,Lakme,14.0,44.7897515700474,219.93,Poor
571229,LAKME TRUEWEAR COLOR CRUSH 14,Lakme,9.0,28.915749236240956,221.29,Poor
517693,LAK PEACH MLK MOIST 60ML,Lakme,13.0,41.78419282307923,221.42,Poor
563634,LAKME 9 TO 5 VITAMIN C FACE WASH 100G,Lakme,12.0,41.36386555910288,244.7,Poor
564257,LAKME PERFDEFNTN LIPLINER RICH WINE,Lakme,18.0,65.69007534317836,264.94,Poor
572519,LAKME ABS LUMNSSKINTINT FND N200NUTRALND,Lakme,11.0,46.295565543128355,320.87,Poor
518538,LAK 9TO5 EYE QURT DESERT ROSE,Lakme,22.0,92.65874792526058,321.18,Poor
571265,LAKME TRUEWEAR COLOR CRUSH 91,Lakme,11.0,47.36443836039098,330.59,Poor
508813,VAS BODY LOTION ALOE SOOTH300M,Vaseline,8.0,53.689747263125824,571.12,Poor
563935,LAKME 9-5 LIQ CONCEALER 30 CINNAMON,Lakme,0.0,4.857013900899655,inf,Poor
572550,LAKME GCSHINE NAIL COLORLAVENDER GLAM,Lakme,0.0,28.65494701998115,inf,Poor
