SKU_Code,Product_Name,Brand,Category,Actual_Total,Forecast_Total,Volume_Error_%,Volume_Accuracy_%,MAE,Bias,Bias_%,Train_Days,Test_Days,Performance_Category
571273,LAKMEABS 3DLIPSTICK 20WINEFLAIR 3.6GM,Lakme,MAKEUP,50.0,49.77133266029349,0.46,99.54,1.047879426353939,-0.22866733970651154,-0.46,126,23,Excellent
572056,LAKME9-5 MAT2GLASLIQLIPMB02BRWNSUGR7.6GM,Lakme,MAKEUP,41.0,40.76027436741224,0.58,99.42,1.0985705743358627,-0.23972563258776347,-0.58,138,21,Excellent
545190,LAKME 9TO5 P+M COMPACT NATURAL LIGHT9G,Lakme,MAKEUP,30.0,29.811657810547157,0.63,99.37,0.8691234428493971,-0.1883421894528432,-0.63,114,18,Excellent
570927,LBP ARGAN OIL & LAVENDER COND 200ML,LBP,HAIR CARE,189.0,187.43790651788947,0.83,99.17,2.8038539015927837,-1.5620934821105266,-0.83,232,29,Excellent
576872,LAKME 9TO5 HYA MAT LIPSTK AFTRHRSWINE3.6,Lakme,MAKEUP,61.0,60.422484763314905,0.95,99.05,1.164300387303305,-0.5775152366850946,-0.95,77,26,Excellent
530302,LAK ABS SHINE BLACK EL,Lakme,MAKEUP,117.0,118.62683473430285,1.39,98.61,1.8211941419096669,1.6268347343028466,1.39,224,29,Excellent
546818,LAKME LSE ULTRAMATTE COMPACT SPF40 7G,Lakme,SKIN,49.0,48.27904225644651,1.47,98.53,1.0695323734003883,-0.7209577435534911,-1.47,181,22,Excellent
574742,DOVE DAILY SHINE SHAMPOO 650 ML,DOVE,HAIR CARE,60.0,60.97292078011254,1.62,98.38,1.277380863171644,0.9729207801125384,1.62,144,23,Excellent
530299,LAK ABS DRY COMP 05 BEIGE HONEY,Lakme,MAKEUP,167.0,169.82093120644413,1.69,98.31,2.5282647638942164,2.820931206444129,1.69,227,30,Excellent
570972,SIMPLE VIT C CLAY MASK 50G,Simple,SKIN,137.0,134.1896487042599,2.05,97.95,1.601315329674199,-2.810351295740105,-2.05,225,29,Excellent
571139,LBP RICE WTR ANGLICA SEED OIL CNDTNR400M,LBP,HAIR CARE,32.0,32.70133655816269,2.19,97.81,0.999441015045297,0.7013365581626871,2.19,132,18,Excellent
571018,LAKME ABSOLUTE GLOW PRIMER,Lakme,MAKEUP,55.0,53.786359591376026,2.21,97.79,1.001639254459825,-1.2136404086239736,-2.21,177,26,Excellent
569803,LAKME ABSOL PERFECT RADIANCE SERUM 15ML,Lakme,SKIN,87.0,85.02832936645993,2.27,97.73,1.693628196750591,-1.9716706335400715,-2.27,188,27,Excellent
570943,LBP TEA TREE SHAMPOO 200ML,LBP,HAIR CARE,122.0,118.09046031507329,3.2,96.8,1.8025411424010256,-3.909539684926713,-3.2,156,28,Excellent
557438,LAKME 9TO5 EYECONIC EYELINER 4.5ML,Lakme,MAKEUP,140.0,144.7088711549422,3.36,96.64,1.3072650442847429,4.708871154942187,3.36,229,30,Excellent
571231,LAKME TRUEWEAR COLOR CRUSH 16,Lakme,MAKEUP,81.0,78.23058324286036,3.42,96.58,1.599470926508393,-2.7694167571396378,-3.42,208,25,Excellent
573338,LAKME ABS BND MAT LIP 501 BURGNDYBS3.4GM,Lakme,MAKEUP,46.0,44.3780903360373,3.53,96.47,0.8442143576725151,-1.6219096639626969,-3.53,128,23,Excellent
530343,LAK ABS MATTE 16H 01IVRY FAIR,Lakme,MAKEUP,93.0,96.93935600353896,4.24,95.76,1.782886738261518,3.939356003538961,4.24,204,24,Excellent
568960,LAKME LUMI CREAM SKIN 60G,Lakme,SKIN,65.0,67.84598583304603,4.38,95.62,1.099072817191047,2.8459858330460293,4.38,180,27,Excellent
571140,LBP RICE WTR ANGLICA SEED OIL SHAMPO400M,LBP,HAIR CARE,41.0,42.88175452462476,4.59,95.41,0.7785427640876729,1.8817545246247604,4.59,130,26,Excellent
574743,DOVE HAIR FALL RESCUE SHAMPOO 650 ML,DOVE,HAIR CARE,65.0,61.89677574909574,4.77,95.23,1.285868565045008,-3.103224250904262,-4.77,168,24,Excellent
548919,LAKME EYECONIC KAJAL DEEPBLCK TWIN 0.35G,Lakme,MAKEUP,616.0,645.7062874914072,4.82,95.18,6.881944117669401,29.706287491407238,4.82,232,30,Excellent
570929,LBP ARGAN OIL & LAVENDER SHP 200ML,LBP,HAIR CARE,123.0,129.11811491438638,4.97,95.03,1.5373258550289068,6.118114914386382,4.97,226,29,Excellent
574764,LAKME GLITTER LIPGLAZE 501BERRYSPRKLR5ML,Lakme,MAKEUP,59.0,55.77901743311257,5.46,94.54,1.1494672819412115,-3.220982566887429,-5.46,127,25,Excellent
549382,LAKME LIP LOVE CHAPSTICK STRAWBERRY 4.5G,Lakme,SKIN,46.0,48.66444611784569,5.79,94.21,1.2266110868363451,2.664446117845692,5.79,164,19,Excellent
571131,LBP ARGAN OIL SHAMPOO 400ML,LBP,HAIR CARE,154.0,144.88587680235264,5.92,94.08,2.1091905988434068,-9.11412319764736,-5.92,229,30,Excellent
531219,LAK PF RADIANCE NIGHT CRM 50G,Lakme,SKIN,46.0,48.91036595869837,6.33,93.67,0.9852642046200234,2.910365958698371,6.33,162,24,Excellent
571223,LAKME TRUEWEAR COLOR CRUSH 10,Lakme,MAKEUP,132.0,123.01064754939516,6.81,93.19,1.952831748778492,-8.98935245060484,-6.81,223,29,Excellent
530298,LAK ABS DRY COMP 03 GOLDN MED,Lakme,MAKEUP,124.0,115.51038994050464,6.85,93.15,1.4737486621106202,-8.489610059495362,-6.85,216,30,Excellent
