Month,SKU Code,Qty
2,504896,1
2,504900,1
2,504963,1
2,506142,1
2,506150,127
2,506152,55
2,506153,72
2,506154,78
2,506168,1
2,506172,86
2,506173,145
2,506280,320
2,506527,75
2,508804,14
2,508806,6
2,508808,10
2,508809,17
2,508810,30
2,508811,35
2,508812,10
2,508813,10
2,508824,29
2,508825,47
2,508836,20
2,508839,10
2,508840,20
2,508848,8
2,510292,13
2,517693,23
2,518228,19
2,518243,18
2,518445,31
2,518536,7
2,518538,24
2,522192,11
2,522342,28
2,522628,17
2,523309,18
2,524361,24
2,525572,1
2,526208,39
2,526307,23
2,526308,34
2,526309,13
2,526310,20
2,526584,105
2,526586,51
2,527097,22
2,527106,10
2,527495,35
2,527497,22
2,528193,20
2,528194,14
2,528201,9
2,528202,9
2,528814,22
2,528815,22
2,529488,7
2,529497,87
2,529599,1
2,530297,135
2,530298,106
2,530299,132
2,530302,169
2,530343,55
2,530344,63
2,530345,25
2,531179,90
2,531219,39
2,531221,8
2,531222,6
2,531224,25
2,531991,9
2,532008,217
2,532009,90
2,532319,15
2,532555,10
2,532990,1
2,533051,22
2,533052,4
2,533060,3
2,533287,12
2,533289,7
2,533290,10
2,533360,23
2,533361,36
2,533401,56
2,533402,100
2,533407,27
2,533408,15
2,533683,25
2,533685,32
2,533686,2
2,533770,97
2,533771,88
2,533935,1
2,533991,8
2,534103,32
2,534104,21
2,535310,45
2,535858,77
2,535993,49
2,537439,10
2,538344,7
2,538603,4
2,538746,36
2,539742,7
2,540027,2
2,540362,41
2,540363,48
2,540364,26
2,540365,13
2,541547,17
2,541548,11
2,541958,196
2,542954,14
2,543522,6
2,543811,1
2,544024,51
2,544922,25
2,544923,22
2,544924,37
2,545187,62
2,545188,54
2,545189,87
2,545190,29
2,545191,35
2,545192,52
2,545194,31
2,545229,11
2,545230,48
2,545231,32
2,545482,4
2,545483,2
2,545784,78
2,545813,3
2,545814,15
2,545831,41
2,546258,5
2,546259,3
2,546818,48
2,546886,1
2,546918,9
2,547494,34
2,547495,37
2,547496,22
2,547497,16
2,547675,23
2,548243,12
2,548919,554
2,549376,1
2,549381,83
2,549382,49
2,550680,19
2,550892,23
2,550893,13
2,551008,33
2,551009,34
2,551010,15
2,551802,8
2,552236,211
2,552237,4
2,553091,4
2,553092,43
2,553093,22
2,553094,22
2,553544,2
2,553820,1
2,553853,15
2,553857,65
2,553858,93
2,554276,23
2,554289,43
2,554290,45
2,554425,1
2,554439,11
2,554864,11
2,555341,8
2,555345,27
2,555347,14
2,555348,30
2,555349,1
2,555350,18
2,555351,14
2,555356,1
2,555901,20
2,555902,19
2,555903,48
2,555904,46
2,555905,7
2,555909,46
2,555911,21
2,555912,18
2,555914,1
2,555916,2
2,555945,73
2,555946,1
2,556435,1
2,556564,36
2,557155,123
2,557156,17
2,557157,12
2,557158,2
2,557159,19
2,557160,27
2,557162,22
2,557163,7
2,557438,128
2,558649,43
2,558677,1
2,558818,12
2,559145,1
2,561865,2
2,561866,1
2,561880,1
2,562018,18
2,562019,3
2,562021,14
2,562022,3
2,562027,18
2,562028,44
2,562030,18
2,562033,12
2,562034,26
2,562035,3
2,562036,23
2,562040,20
2,562041,15
2,562046,2
2,562248,2
2,562256,1
2,562394,24
2,562395,15
