Week,SKU Code,Qty
5,504896,1
5,506150,35
5,506152,10
5,506153,7
5,506154,8
5,506172,8
5,506173,6
5,506280,40
5,506527,9
5,508804,2
5,508809,1
5,508810,4
5,508811,1
5,508812,1
5,508824,3
5,508825,3
5,508836,1
5,508840,5
5,508848,2
5,510292,3
5,517693,1
5,518228,2
5,518243,3
5,518445,4
5,518536,2
5,518538,4
5,522342,2
5,522628,1
5,523309,2
5,524361,2
5,525572,1
5,526208,6
5,526308,6
5,526309,1
5,526310,1
5,526584,9
5,526586,3
5,527097,5
5,527106,1
5,527495,2
5,527497,1
5,528193,2
5,528814,1
5,528815,2
5,529488,1
5,529497,7
5,530297,15
5,530298,16
5,530299,31
5,530302,30
5,530343,8
5,530344,6
5,530345,6
5,531179,13
5,531219,3
5,531222,1
5,532008,28
5,532009,8
5,532555,2
5,533051,6
5,533360,1
5,533361,9
5,533401,8
5,533402,10
5,533407,4
5,533408,2
5,533683,3
5,533685,2
5,533770,14
5,533771,11
5,533935,1
5,533991,1
5,534103,3
5,534104,2
5,535310,5
5,535858,8
5,535993,10
5,537439,2
5,538603,1
5,538746,6
5,540362,7
5,540363,13
5,540364,3
5,540365,2
5,541547,4
5,541958,28
5,542954,2
5,544024,6
5,544922,1
5,544924,5
5,545187,9
5,545188,6
5,545189,11
5,545191,5
5,545192,8
5,545229,1
5,545230,3
5,545231,6
5,545784,6
5,545813,1
5,545814,3
5,545831,2
5,546258,1
5,546818,6
5,546918,2
5,547494,6
5,547495,3
5,547496,1
5,547497,1
5,548243,1
5,548919,65
5,549381,5
5,549382,5
5,550680,3
5,550892,2
5,551008,3
5,551009,5
5,551010,1
5,551802,2
5,552236,96
5,552237,1
5,553092,2
5,553093,3
5,553094,2
5,553820,1
5,553853,2
5,553857,13
5,553858,20
5,554276,2
5,554289,7
5,554290,5
5,554425,1
5,554439,3
5,554864,2
5,555345,4
5,555347,1
5,555348,2
5,555350,3
5,555351,2
5,555901,4
5,555902,5
5,555903,3
5,555904,5
5,555905,2
5,555909,7
5,555911,4
5,555912,2
5,555916,1
5,555945,14
5,556564,2
5,557155,23
5,557156,1
5,557159,3
5,557160,8
5,557162,1
5,557438,16
5,558649,1
5,562018,2
5,562019,2
5,562021,2
5,562027,6
5,562028,7
5,562030,2
5,562033,1
5,562034,6
5,562036,4
5,562040,5
5,562041,3
5,562394,4
5,562395,1
5,562396,3
5,562401,1
5,562790,2
5,562946,2
5,562983,1
5,562989,3
5,563013,2
5,563634,1
5,563824,5
5,563935,7
5,563936,7
5,563937,1
5,564051,2
5,564253,3
5,564257,6
5,564584,1
5,564877,1
5,564881,21
5,564901,2
5,565732,1
5,566767,21
5,567101,1
5,567370,1
5,567372,1
5,567373,3
5,567374,8
5,567389,3
5,567391,1
5,567392,1
5,567393,1
5,567471,1
5,567473,1
5,567474,1
5,568392,1
5,568417,1
5,568422,1
5,568949,1
5,568953,4
5,568954,1
5,568957,1
5,568960,9
5,568967,5
5,568972,10
5,568974,22
5,568975,11
5,568976,18
5,569114,1
5,569115,1
5,569116,2
5,569117,7
5,569118,1
5,569124,2
5,569125,1
5,569126,1
5,569192,4
5,569193,1
5,569194,3
5,569802,1
5,569803,8
5,570291,2
5,570292,5
5,570598,3
5,570600,1
5,570738,1
5,570927,16
5,570928,14
5,570929,14
5,570932,5
5,570933,1
5,570934,3
5,570935,4
5,570936,8
5,570938,4
5,570939,3
5,570940,8
5,570941,8
5,570942,16
5,570943,18
5,570959,5
5,570961,54
5,570963,8
5,570965,7
5,570966,18
5,570967,11
5,570969,23
5,570970,5
5,570971,21
5,570972,9
5,570973,27
5,570974,12
5,570975,25
5,570976,6
5,570977,9
5,570978,17
5,571000,1
5,571004,1
5,571018,5
5,571020,1
5,571030,1
5,571035,2
5,571131,19
5,571132,1
5,571133,2
5,571134,2
5,571135,5
5,571136,5
5,571137,2
5,571138,7
5,571139,4
5,571140,1
5,571141,10
5,571223,18
5,571225,9
5,571227,8
5,571229,5
5,571230,1
5,571231,6
5,571234,6
5,571235,11
5,571238,2
5,571239,1
5,571241,1
5,571243,2
5,571245,1
5,571247,11
5,571248,10
5,571249,3
5,571253,8
5,571259,5
5,571260,3
5,571265,3
5,571268,1
5,571269,3
5,571270,6
5,571271,2
5,571272,3
5,571273,1
5,571276,1
5,571277,1
5,571378,4
5,571379,3
5,571424,9
5,571425,4
5,571426,1
5,571427,7
5,571428,1
5,571429,1
5,571439,1
5,571440,4
5,571441,2
5,571582,1
5,571583,1
5,571601,2
5,571602,1
5,571927,1
5,571931,4
5,571932,3
5,571933,15
5,571939,9
5,571941,2
5,571942,3
5,571945,4
5,571947,2
5,571949,3
5,572025,7
5,572030,1
5,572034,10
5,572042,1
5,572044,3
5,572048,10
5,572053,3
5,572055,2
5,572056,5
5,572058,1
5,572061,2
5,572063,7
5,572281,1
5,572282,2
5,572283,2
5,572285,2
5,572289,1
5,572291,1
5,572296,1
5,572320,1
5,572322,3
5,572323,2
5,572324,1
5,572326,1
5,572327,4
5,572349,1
5,572365,1
5,572368,2
5,572511,1
5,572512,1
5,572515,1
5,572516,3
5,572517,7
5,572518,3
5,572519,5
5,572520,8
5,572521,7
5,572526,6
5,572533,1
5,572542,1
5,572547,2
5,572548,2
5,572578,1
5,572579,2
5,572580,2
5,572912,1
5,572913,1
5,573030,16
5,573031,8
5,573033,3
5,573037,1
5,573324,1
5,573325,5
5,573326,1
5,573327,2
5,573328,6
5,573329,2
5,573331,1
5,573332,1
5,573335,3
5,573336,2
5,573337,2
5,573338,6
5,573340,2
5,573341,1
5,573343,2
5,573344,1
5,573346,2
5,573348,2
5,573498,1
5,573499,1
5,573556,1
5,573558,1
5,573559,6
5,573560,3
5,573561,2
5,573562,3
5,573563,4
5,573564,6
5,573565,4
5,573566,3
5,573567,1
5,573573,1
5,573580,2
5,573581,2
5,573582,1
5,573584,1
5,573585,1
5,573613,1
5,573615,1
5,573616,1
5,573617,1
5,573708,4
5,573741,3
5,573742,3
5,573743,1
5,573745,1
5,573746,1
5,573747,1
5,573748,2
5,573749,3
5,573792,1
5,573795,1
5,573830,2
5,573836,2
5,573837,1
5,574097,3
5,574098,1
5,574099,1
5,574101,1
5,574102,1
5,574103,1
5,574105,2
5,574109,1
5,574110,1
5,574118,2
5,574310,3
5,574311,2
5,574313,3
5,574315,1
5,574549,1
5,574550,1
5,574551,1
5,574554,1
5,574555,3
5,574742,4
5,574743,11
5,574744,6
5,574745,6
5,574746,4
5,574755,2
5,574758,1
5,574760,1
5,574762,4
5,574765,1
5,574864,3
5,575053,1
5,575055,1
5,575058,1
5,575088,1
5,575090,1
5,575094,1
5,575096,1
5,575099,1
5,575100,1
5,575101,1
5,575103,4
5,575105,2
5,575855,4
5,575861,1
5,575876,1
6,506150,29
6,506152,14
6,506153,21
6,506154,23
6,506172,29
6,506173,44
6,506280,76
6,506527,20
6,508804,5
6,508806,1
6,508808,3
6,508809,1
6,508810,9
6,508811,14
6,508812,1
6,508813,2
6,508824,5
6,508825,12
6,508836,4
6,508839,5
6,508840,2
6,510292,2
6,517693,7
6,518228,6
6,518243,5
6,518445,6
6,518536,1
6,518538,6
6,522192,2
6,522342,9
6,522628,9
6,523309,5
6,524361,9
6,526208,6
6,526307,5
6,526308,5
6,526309,4
6,526310,5
6,526584,25
