SKU_Code,Product_Name,Brand,Category,Train_Days,Test_Days,Actual_Total,Forecast_Total,MAE,MAPE,Accuracy
548919,LAKME EYECONIC KAJAL DEEPBLCK TWIN 0.35G,Lakme,MAKEUP,232,30,616.0,645.7062874914072,6.881944117669401,43.51763117602622,56.48236882397378
570961,SIMPLE KIND TO SKN REFRESH FAC WSH 150ML,Simple,SKIN,232,30,348.0,380.79898090175595,3.3937335529552186,41.879969086403484,58.120030913596516
506280,LAK NE REMOVER,Lakme,MAKEUP,232,30,353.0,328.57129756898405,2.832148515973416,35.760411664125705,64.23958833587429
570969,SIMPLE SKIN HYDRATING LIGHT MOISZ 125ML,Simple,SKIN,232,30,213.0,234.01074894394156,2.5754130018775845,71.8356849450302,28.164315054969805
552236,LAKME ABS UNDERCOVER GEL PRIMER30ML,Lakme,MAKEUP,229,30,227.0,208.36588903082455,2.1221006251095114,43.77681745282969,56.22318254717031
532008,LAK EYECONIC KAJAL 0.35GM,Lakme,MAKEUP,230,30,237.0,168.61100227603734,3.193490070320205,40.92311713986026,59.07688286013974
541958,LAK ABS BLUR PERFECT PRIMER,Lakme,MAKEUP,230,30,209.0,154.89348937984417,2.2152713256421053,28.369512528368357,71.63048747163164
570927,LBP ARGAN OIL & LAVENDER COND 200ML,LBP,HAIR CARE,232,29,189.0,187.43790651788947,2.8038539015927837,1742.2206518568498,0.0
571131,LBP ARGAN OIL SHAMPOO 400ML,LBP,HAIR CARE,229,30,154.0,144.88587680235264,2.1091905988434068,65.1215206504443,34.878479349555704
570973,SIMPLE VIT C FACE WASH 150ML,Simple,SKIN,229,30,170.0,155.48784994434504,2.401775748818008,50.85395499518819,49.14604500481181
570975,SIMPLE VITC HYD GEL40G,Simple,SKIN,228,30,168.0,132.96001102861757,2.319097154225823,47.48351727727108,52.51648272272892
568976,VASELINE LIP TINS ROSY LIP 17G,Vaseline,SKIN,197,30,214.0,259.24012315468053,3.1317700286914882,64.89457075510006,35.10542924489994
530299,LAK ABS DRY COMP 05 BEIGE HONEY,Lakme,MAKEUP,227,30,167.0,169.82093120644413,2.5282647638942164,75.4824536802569,24.517546319743104
